Layers/activation/solver/batch/learning/learning_type/model_score/iteration/MSE_pm/MSE_yoke/MSE_tooth/MSE_winding
(7, 7, 7, 6, 5, 4)/tanh/sgd/100/0.001/constant/0.8375840761616518/96/0.3066434667709187/0.08710459272286442/0.15024482234278488/0.17197770441699298
(7, 7, 7, 6, 5, 4)/tanh/sgd/200/0.001/constant/0.8120391459037231/89/0.4458338770949749/0.0733708291268026/0.13800564700600773/0.17136876462997236
(7, 7, 7, 6, 5, 4)/tanh/sgd/400/0.001/constant/0.802531511413554/177/0.34264247600342695/0.12053419601532907/0.1924510266114098/0.21486348350637582
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.001/constant/0.8747193986534572/128/0.22997700174407848/0.06217452417615915/0.11292072192363281/0.1471964181371704
(7, 7, 7, 6, 5, 4)/tanh/sgd/800/0.001/constant/0.8597477585766878/195/0.2712205277139658/0.06349045970532617/0.12473566384715296/0.15882080146909294
(7, 7, 7, 6, 5, 4)/tanh/sgd/1000/0.001/constant/0.7845967016234965/137/0.46892943512371543/0.09292371392163225/0.17024280227564798/0.2174564212226764
(7, 7, 7, 6, 5, 4)/tanh/sgd/2000/0.001/constant/0.8676176953663073/198/0.2621423264929602/0.06157855110664345/0.10842455542842315/0.15142934226628654
(7, 7, 7, 6, 5, 4)/tanh/sgd/5000/0.001/constant/0.8524822517616613/351/0.33097696686596867/0.06443497629682957/0.10913164954529402/0.14575205683751458
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.002/constant/0.8673002383555013/131/0.24428549141835043/0.06266576318604322/0.12252699804499259/0.15549595366600857
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.003/constant/0.8711106258351593/141/0.22355316314576626/0.0648349124403787/0.12351555827056118/0.15627341800984873
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.004/constant/0.8245460273393921/184/0.3534329945137427/0.07476545405460967/0.1462593082496054/0.1989878555184318
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.005/constant/0.8442894967593244/75/0.34238755025400897/0.06580852385148686/0.12475535583936095/0.1534599616008581
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.01/constant/0.7880245185661674/136/0.4220793980295547/0.11449643153533665/0.1857006766561623/0.2121651798331783
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.02/constant/0.7522300506853692/67/0.539071175510052/0.11969468292300883/0.20252798746878745/0.2309389332151349
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.03/constant/0.7392158052235517/56/0.4866060038303638/0.13753378563631352/0.23798680186763083/0.287476282615366
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.0005/constant/0.8651943115484677/182/0.2743945088024413/0.05918392162820151/0.11290357922288692/0.14777565615897573
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.0001/constant/0.8589584015398758/246/0.2881910545116088/0.06868958783130598/0.11683061247385414/0.14803588394371925
(7, 7, 7, 6, 5, 4)/relu/sgd/700/0.001/constant/0.6956212214132231/85/0.6499851955564053/0.12534801864957876/0.2516478891337655/0.31479775305377955
(7, 7, 7, 6, 5, 4)/tanh/adam/700/0.001/constant/0.864056891852615/197/0.2570047100679761/0.06454023731873706/0.12091660620181809/0.15681014673001403
(7, 7, 7, 6, 5, 4)/logistic/sgd/700/0.001/constant/0.009265438478527831/13/1.203926418324723/0.9448298157228114/1.0985899688901708/1.2017518324995937
(14, 14, 14, 12, 10, 8)/tanh/sgd/700/0.001/constant/0.8457091357010773/221/0.3000969245518807/0.07805261262472062/0.13477383983492172/0.16722988601222005
(20, 20, 20)/tanh/sgd/700/0.001/constant/0.8576593141620132/127/0.29699366266135147/0.06301849142147475/0.1149261889846458/0.15253550234555227
(20, 10, 20)/tanh/sgd/700/0.001/constant/0.8645351503002431/172/0.28603060394824914/0.06277128912896845/0.10979112237974001/0.13857040032250723
(10, 20, 20, 10)/tanh/sgd/700/0.001/constant/0.8462797906648027/213/0.3102806971567007/0.06546861882793235/0.12920570407548637/0.17268265114681583
(11, 11, 11, 11, 11, 11)/tanh/sgd/700/0.001/constant/0.850537720777419/235/0.30821293203262623/0.06803915502160181/0.12658899046112448/0.1560265578052569
(5, 5, 5, 5, 5, 5, 5, 5)/tanh/sgd/700/0.001/constant/0.7902664428997573/140/0.43197211619749554/0.12071870989968479/0.1641797866301791/0.20768810223929607
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.001/invscaling/0.6436640652217039/14/0.7223233234953615/0.16810935490626436/0.291989478084574/0.3883970224285044
(7, 7, 7, 6, 5, 4)/tanh/sgd/700/0.001/adaptive/0.8451704733956996/194/0.3246195725222567/0.06716149188839093/0.12777691037558486/0.16296984830194014
