,model_score,pm,yoke,tooth,MSE_winding,number_trees
0,0.5332986247972619,0.8466147876780117,0.24517568828417885,0.4447277622397159,0.5208197943780759,100.0
1,0.4806343385117276,0.8972771610492771,0.27794165319854247,0.5081490834655313,0.6061276661934734,2.0
2,0.5000361814216328,0.9111416409529521,0.25547931646947875,0.46662533282340546,0.5707210291741357,5.0
3,0.5287679539505397,0.8629725272812299,0.252376812800736,0.44389800292985643,0.5180630357863681,10.0
4,0.5358029059431999,0.8594191056099074,0.23635603145537643,0.43455403590824576,0.5159693531478027,20.0
5,0.522326646767538,0.860090578631699,0.24822699013392482,0.45803867509180796,0.5393490507289606,30.0
6,0.5239801305970715,0.8487487275551767,0.2503105962152326,0.45885615747288916,0.540500837245097,40.0
7,0.5285402167752052,0.8463508243140344,0.24690654956953387,0.45359978188153527,0.5314571462635344,50.0
8,0.541955911566859,0.8280632783050763,0.237544512613091,0.43738596059826623,0.5161807652129544,60.0
9,0.5442810101016453,0.8220439549165013,0.23731409119256025,0.43482851515499027,0.5147383314031969,70.0
10,0.5556612233831302,0.7922708581796573,0.23299989374347505,0.427967793978257,0.5055194802279148,80.0
11,0.5420570070426789,0.8130879961822419,0.24270568576166607,0.44175121788755584,0.5211839623994017,90.0
